character,Consonant,Vowel,Tone,Mark,Symbol,Place,Manner,Voice,Aspiration,Class,Final Sound,Height,Backness,Roundness,Duration,Tone Close
ม,1,0,0,0,0,0.08333333,0.07692308,1,0.1,0.25,0.3333333333,0,0,0,0,0
ณ,1,0,0,0,0,0.41666667,0.07692308,1,0.1,0.25,0.5555555556,0,0,0,0,0
น,1,0,0,0,0,0.41666667,0.07692308,1,0.1,0.25,0.5555555556,0,0,0,0,0
ง,1,0,0,0,0,0.75000000,0.07692308,1,0.1,0.25,0.8888888889,0,0,0,0,0
ผ,1,0,0,0,0,0.08333333,0.15384615,0.1,1,0.5,0.7777777778,0,0,0,0,0
พ,1,0,0,0,0,0.08333333,0.15384615,0.1,1,0.3,0.2222222222,0,0,0,0,0
ภ,1,0,0,0,0,0.08333333,0.15384615,0.1,1,0.3,0.2222222222,0,0,0,0,0
ป,1,0,0,0,0,0.08333333,0.15384615,0.1,0.1,1,0.2222222222,0,0,0,0,0
บ,1,0,0,0,0,0.08333333,0.15384615,1,0.1,1,0.2222222222,0,0,0,0,0
ฐ,1,0,0,0,0,0.41666667,0.15384615,0.1,1,0.5,0.4444444444,0,0,0,0,0
ถ,1,0,0,0,0,0.41666667,0.15384615,0.1,1,0.5,0.4444444444,0,0,0,0,0
ฑ,1,0,0,0,0,0.41666667,0.15384615,0.1,1,0.3,0.4444444444,0,0,0,0,0
ฒ,1,0,0,0,0,0.41666667,0.15384615,0.1,1,0.3,0.4444444444,0,0,0,0,0
ท,1,0,0,0,0,0.41666667,0.15384615,0.1,1,0.3,0.4444444444,0,0,0,0,0
ธ,1,0,0,0,0,0.41666667,0.15384615,0.1,1,0.3,0.4444444444,0,0,0,0,0
ฏ,1,0,0,0,0,0.41666667,0.15384615,0.1,0.1,1,0.4444444444,0,0,0,0,0
ต,1,0,0,0,0,0.41666667,0.15384615,0.1,0.1,1,0.4444444444,0,0,0,0,0
ฎ,1,0,0,0,0,0.41666667,0.15384615,1,0.1,1,0.4444444444,0,0,0,0,0
ด,1,0,0,0,0,0.41666667,0.15384615,1,0.1,1,0.4444444444,0,0,0,0,0
ข,1,0,0,0,0,0.75000000,0.15384615,0.1,1,0.5,0.7777777778,0,0,0,0,0
ฃ,1,0,0,0,0,0.75000000,0.15384615,0.1,1,0.5,0.7777777778,0,0,0,0,0
ค,1,0,0,0,0,0.75000000,0.15384615,0.1,1,0.3,0.7777777778,0,0,0,0,0
ฅ,1,0,0,0,0,0.75000000,0.15384615,0.1,1,0.3,0.7777777778,0,0,0,0,0
ฆ,1,0,0,0,0,0.75000000,0.15384615,0.1,1,0.3,0.7777777778,0,0,0,0,0
ก,1,0,0,0,0,0.75000000,0.15384615,1,0.1,1,0.7777777778,0,0,0,0,0
อ,1,1,0,0,0,1.00000000,0.15384615,1,0.1,1,0.1111111111,0,0,0,0,0
ร,1,0,0,0,0,0.41666667,0.69230769,1,0.1,0.25,0.5555555556,0,0,0,0,0
ฤ,0,1,0,0,0,0.41666667,0.69230769,1,0.1,0.25,0.1111111111,0,0,0,0,0
ฉ,1,0,0,0,0,0.66666667,0.23076923,0.1,1,0.5,0.4444444444,0,0,0,0,0
ช,1,0,0,0,0,0.66666667,0.23076923,0.1,1,0.3,0.4444444444,0,0,0,0,0
ฌ,1,0,0,0,0,0.66666667,0.23076923,0.1,1,0.3,0.4444444444,0,0,0,0,0
จ,1,0,0,0,0,0.66666667,0.23076923,1,0.1,1,0.4444444444,0,0,0,0,0
ศ,1,0,0,0,0,0.41666667,0.38461538,0.1,0.1,0.5,0.4444444444,0,0,0,0,0
ษ,1,0,0,0,0,0.41666667,0.38461538,0.1,0.1,0.5,0.4444444444,0,0,0,0,0
ส,1,0,0,0,0,0.41666667,0.38461538,0.1,0.1,0.5,0.4444444444,0,0,0,0,0
ซ,1,0,0,0,0,0.41666667,0.38461538,0.1,0.1,0.3,0.4444444444,0,0,0,0,0
ฝ,1,0,0,0,0,0.16666667,0.46153846,0.1,0.1,0.5,0.1111111111,0,0,0,0,0
